DUS,DABGRA,DUS
DUS,DRA,DUS
DUS,DSA,DUS
DUS,GKR,DUS
DUS,GUD,DUS
DUS,JSF,DUS
DUS,HDA,DUS
DUS,SLA,DUS
DUS,SLB,DUS
DUS,DRA,TEB,SLB,GUD,DSA,DUS
DUS,DRA,SLA,SLB,JSF,DSA,DUS
DUS,DSA,DRA,SLA,SLB,HDA,DUS
DUS,DSA,DRA,SLA,TEB,HDA,DUS
DUS,DSA,DRA,TEB,SLB,HDA,DUS
DUS,DRA,SLA,TEB,SLB,DSA,DUS
DUS,DRA,SLA,GKR,GUD,JSF,DUS
DUS,DRA,SLB,GKR,GUD,JSF,DUS
DUS,DRA,SLA,GKR,GUD,HDA,DUS
DUS,DRA,SLB,GKR,GUD,HDA,DUS
DUS,DRA,TEB,GKR,GUD,HDA,DUS
DUS,DRA,SLA,SLB,GKR,GUD,DUS
DUS,DRA,SLA,TEB,GKR,GUD,DUS
DUS,DRA,TEB,SLB,GKR,GUD,DUS
DUS,DRA,SLA,GKR,JSF,HDA,DUS
DUS,DRA,SLB,GKR,JSF,HDA,DUS
DUS,DRA,SLA,SLB,GKR,JSF,DUS
DUS,DRA,SLA,TEB,GKR,JSF,DUS
DUS,DRA,TEB,SLB,GKR,JSF,DUS
DUS,DRA,SLA,SLB,GKR,HDA,DUS
DUS,DRA,SLA,TEB,GKR,HDA,DUS
DUS,DRA,TEB,SLB,GKR,HDA,DUS
DUS,DRA,SLA,SLB,TEB,GKR,DUS
DUS,JSF,DRA,SLA,GUD,HDA,DUS
DUS,JSF,DRA,SLB,GUD,HDA,DUS
DUS,DRA,SLA,SLB,GUD,JSF,DUS
DUS,DRA,SLA,TEB,GUD,JSF,DUS
DUS,DRA,TEB,SLB,GUD,JSF,DUS
DUS,DRA,SLA,SLB,GUD,HDA,DUS
DUS,DRA,SLA,TEB,GUD,HDA,DUS
DUS,DRA,TEB,SLB,GUD,HDA,DUS
DUS,DRA,SLA,SLB,TEB,GUD,DUS
DUS,DRA,SLA,SLB,JSF,HDA,DUS
DUS,DRA,SLA,TEB,JSF,HDA,DUS
DUS,DRA,TEB,SLB,JSF,HDA,DUS
DUS,DRA,SLA,TEB,SLB,JSF,DUS
DUS,DRA,SLA,SLB,TEB,HDA,DUS
DUS,DSA,SLA,GKR,GUD,HDA,DUS
DUS,DSA,SLB,GKR,GUD,HDA,DUS
DUS,DSA,TEB,GKR,GUD,HDA,DUS
DUS,SLA,SLB,GKR,GUD,DSA,DUS
DUS,SLA,TEB,GKR,GUD,DSA,DUS
DUS,SLB,TEB,GKR,GUD,DSA,DUS
DUS,DSA,JSF,GKR,SLB,SLA,DUS
DUS,DSA,SLA,SLB,GKR,HDA,DUS
DUS,DSA,SLA,TEB,GKR,HDA,DUS
DUS,DSA,SLB,TEB,GKR,HDA,DUS
DUS,DSA,GKR,TEB,SLB,SLA,DUS
DUS,DSA,JSF,GUD,SLB,SLA,DUS
DUS,DSA,SLA,SLB,GUD,HDA,DUS
DUS,DSA,SLA,TEB,GUD,HDA,DUS
DUS,DSA,SLB,TEB,GUD,HDA,DUS
DUS,SLA,SLB,TEB,GUD,DSA,DUS
DUS,DSA,JSF,SLA,SLB,HDA,DUS
DUS,DSA,JSF,SLB,TEB,SLA,DUS
DUS,DSA,SLA,SLB,TEB,HDA,DUS
DUS,JSF,SLA,GKR,GUD,HDA,DUS
DUS,SLA,SLB,GKR,GUD,JSF,DUS
DUS,SLA,TEB,GKR,GUD,JSF,DUS
DUS,SLB,TEB,GKR,GUD,JSF,DUS
DUS,SLA,SLB,GKR,GUD,HDA,DUS
DUS,SLA,TEB,GKR,GUD,HDA,DUS
DUS,SLB,TEB,GKR,GUD,HDA,DUS
DUS,SLA,SLB,TEB,GKR,GUD,DUS
DUS,JSF,SLA,SLB,GKR,HDA,DUS
DUS,JSF,SLA,TEB,GKR,HDA,DUS
DUS,JSF,SLB,TEB,GKR,HDA,DUS
DUS,JSF,GKR,TEB,SLB,SLA,DUS
DUS,SLA,SLB,TEB,GKR,HDA,DUS
DUS,JSF,SLA,SLB,GUD,HDA,DUS
DUS,JSF,SLA,TEB,GUD,HDA,DUS
DUS,JSF,SLB,TEB,GUD,HDA,DUS
DUS,JSF,GUD,TEB,SLB,SLA,DUS
DUS,HDA,GUD,TEB,SLB,SLA,DUS
DUS,JSF,SLA,SLB,TEB,HDA,DUS
DUS,DRA,SLA,SLB,GKR,GUD,DSA,DUS
DUS,DRA,SLA,TEB,GKR,GUD,DSA,DUS
DUS,DRA,TEB,SLB,GKR,GUD,DSA,DUS
DUS,HDA,GKR,SLB,SLA,DRA,DSA,DUS
DUS,HDA,GKR,TEB,SLA,DRA,DSA,DUS
DUS,DSA,DRA,TEB,SLB,GKR,HDA,DUS
DUS,DRA,SLA,SLB,TEB,GKR,DSA,DUS
DUS,DSA,DRA,SLA,SLB,GUD,HDA,DUS
DUS,DSA,DRA,SLA,TEB,GUD,HDA,DUS
DUS,DSA,DRA,TEB,SLB,GUD,HDA,DUS
DUS,DRA,SLA,SLB,TEB,GUD,DSA,DUS
DUS,DSA,DRA,SLA,SLB,TEB,HDA,DUS
DUS,DRA,SLA,SLB,GKR,GUD,HDA,DUS
DUS,DRA,SLA,TEB,GKR,GUD,HDA,DUS
DUS,DRA,TEB,SLB,GKR,GUD,HDA,DUS
DUS,DRA,SLA,SLB,TEB,GKR,GUD,DUS
DUS,DRA,SLA,SLB,TEB,GKR,JSF,DUS
DUS,DRA,SLA,SLB,TEB,GKR,HDA,DUS
DUS,DRA,SLA,SLB,TEB,GUD,JSF,DUS
DUS,DRA,SLA,SLB,TEB,GUD,HDA,DUS
DUS,DRA,SLA,TEB,SLB,JSF,HDA,DUS
DUS,DSA,SLA,SLB,GKR,GUD,HDA,DUS
DUS,SLA,SLB,TEB,GKR,GUD,DSA,DUS
DUS,HDA,GKR,TEB,SLB,SLA,DSA,DUS
DUS,DSA,SLA,SLB,TEB,GUD,HDA,DUS
DUS,SLA,SLB,TEB,GKR,GUD,HDA,DUS
DUS,DRA,SLA,SLB,TEB,GKR,GUD,HDA,DUS
