DUS,DRA,GKR,GUD,HDA,SLA,TEB,DUS
DUS,DRA,GKR,GUD,HDA,SLB,TEB,DUS
DUS,DRA,GKR,JSF,GRA,SLA,SLB,DUS
DUS,DRA,GKR,GRA,HDA,SLA,SLB,DUS
DUS,DRA,GKR,GRA,HDA,SLA,TEB,DUS
DUS,DRA,GKR,GRA,HDA,SLB,TEB,DUS
DUS,DRA,GKR,HDA,SLA,SLB,TEB,DUS
DUS,DRA,GUD,JSF,GRA,SLA,SLB,DUS
DUS,DRA,GUD,JSF,SLA,SLB,TEB,DUS
DUS,DRA,GUD,GRA,HDA,SLA,SLB,DUS
DUS,DRA,GUD,GRA,HDA,SLA,TEB,DUS
DUS,DRA,GUD,GRA,HDA,SLB,TEB,DUS
DUS,DRA,GUD,HDA,SLA,SLB,TEB,DUS
DUS,DRA,JSF,GRA,HDA,SLA,SLB,DUS
DUS,DRA,JSF,HDA,SLA,SLB,TEB,DUS
DUS,DRA,GRA,HDA,SLA,SLB,TEB,DUS
DUS,DSA,GKR,GUD,GRA,SLA,TEB,DUS
DUS,DSA,GKR,GUD,GRA,SLB,TEB,DUS
DUS,DSA,GKR,GUD,HDA,SLA,SLB,DUS
DUS,DSA,GKR,GRA,HDA,SLA,SLB,DUS
DUS,DSA,GKR,GRA,HDA,SLA,TEB,DUS
DUS,DSA,GKR,GRA,HDA,SLB,TEB,DUS
DUS,DSA,GKR,HDA,SLA,SLB,TEB,DUS
DUS,DSA,GUD,GRA,HDA,SLA,SLB,DUS
DUS,DSA,GUD,GRA,HDA,SLA,TEB,DUS
DUS,DSA,GUD,GRA,HDA,SLB,TEB,DUS
DUS,DSA,GUD,HDA,SLA,SLB,TEB,DUS
DUS,GKR,GUD,GRA,HDA,SLA,SLB,DUS
DUS,GKR,GUD,GRA,HDA,SLA,TEB,DUS
DUS,GKR,GUD,GRA,HDA,SLB,TEB,DUS
DUS,GKR,GUD,HDA,SLA,SLB,TEB,DUS
DUS,GKR,JSF,GRA,SLA,SLB,TEB,DUS
DUS,GKR,GRA,HDA,SLA,SLB,TEB,DUS
DUS,GUD,JSF,GRA,SLA,SLB,TEB,DUS
DUS,GUD,GRA,HDA,SLA,SLB,TEB,DUS
DUS,DRA,DSA,GKR,GRA,SLA,SLB,TEB,DUS
DUS,DRA,DSA,GUD,GRA,SLA,SLB,TEB,DUS
DUS,DRA,DSA,GRA,HDA,SLA,SLB,TEB,DUS
DUS,DRA,GKR,GUD,GRA,HDA,SLA,SLB,DUS
DUS,DRA,GKR,GUD,GRA,HDA,SLA,TEB,DUS
DUS,DRA,GKR,GUD,GRA,SLA,SLB,TEB,DUS
DUS,DRA,GKR,GUD,HDA,SLA,SLB,TEB,DUS
DUS,DRA,GKR,GRA,HDA,SLA,SLB,TEB,DUS
DUS,DRA,GUD,GRA,HDA,SLA,SLB,TEB,DUS
DUS,GKR,GUD,GRA,HDA,SLA,SLB,TEB,DUS
