MON,APT,DSS,KVB,OSO,MON
MON,APT,DSS,KVB,OSS,MON
MON,APT,DSS,KVB,TENTRB,MON
MON,APT,DSS,KVB,TEQTRC,MON
MON,APT,DSS,KVB,TRO,MON
MON,APT,DSS,KVB,VFB,MON
MON,APT,DSS,MID,OSO,MON
MON,APT,DSS,MID,TRO,MON
MON,APT,DSS,NLNVAL,OSC,MON
MON,APT,DSS,NLNVAL,OSO,MON
MON,APT,DSS,NLNVAL,TENTRB,MON
MON,APT,DSS,NLNVAL,TRO,MON
MON,APT,DSS,NLNVAL,VFB,MON
MON,APT,DSS,OSC,OSO,MON
MON,APT,DSS,OSC,TENTRB,MON
MON,APT,DSS,OSC,TRO,MON
MON,APT,DSS,OSC,VFB,MON
MON,APT,DSS,OSO,OSS,MON
MON,APT,DSS,OSO,TENTRB,MON
MON,APT,DSS,OSO,TEQTRC,MON
MON,APT,DSS,OSO,TRO,MON
MON,APT,DSS,OSO,VFB,MON
MON,APT,DSS,OSS,TRO,MON
MON,APT,DSS,TENTRB,TEQTRC,MON
MON,APT,DSS,TENTRB,TRO,MON
MON,APT,DSS,TEQTRC,TRO,MON
MON,APT,KVB,MID,NLNVAL,MON
MON,APT,KVB,MID,OSE,MON
MON,APT,KVB,MID,TEQTRC,MON
MON,APT,KVB,NLNVAL,OSC,MON
MON,APT,KVB,NLNVAL,OSE,MON
MON,APT,KVB,NLNVAL,OSO,MON
MON,APT,KVB,NLNVAL,OSS,MON
MON,APT,KVB,NLNVAL,TENTRB,MON
MON,APT,KVB,NLNVAL,TEQTRC,MON
MON,APT,KVB,NLNVAL,TRO,MON
MON,APT,KVB,NLNVAL,VFB,MON
MON,APT,KVB,OSC,OSE,MON
MON,APT,KVB,OSC,TENTRB,MON
MON,APT,KVB,OSC,TEQTRC,MON
MON,APT,KVB,OSE,OSO,MON
MON,APT,KVB,OSE,OSS,MON
MON,APT,KVB,OSE,TENTRB,MON
MON,APT,KVB,OSE,TEQTRC,MON
MON,APT,KVB,OSE,TRO,MON
MON,APT,KVB,OSE,VFB,MON
MON,APT,KVB,OSO,TEQTRC,MON
MON,APT,KVB,OSS,TENTRB,MON
MON,APT,KVB,OSS,TEQTRC,MON
MON,APT,KVB,TENTRB,TEQTRC,MON
MON,APT,KVB,TENTRB,VFB,MON
