DUS,GRA,DAB,SLB,TEB,SLA,DUS
DUS,DSA,DRA,GKR,GUD,GRA,DUS
DUS,DRA,SLA,GKR,GUD,DSA,DUS
DUS,DRA,SLB,GKR,GUD,DSA,DUS
DUS,DRA,TEB,GKR,GUD,DSA,DUS
DUS,DSA,DRA,SLA,GKR,GRA,DUS
DUS,DSA,DRA,SLB,GKR,GRA,DUS
DUS,DSA,DRA,TEB,GKR,GRA,DUS
DUS,DRA,SLA,SLB,GKR,DSA,DUS
DUS,DRA,SLA,TEB,GKR,DSA,DUS
DUS,DRA,TEB,SLB,GKR,DSA,DUS
DUS,GRA,GUD,SLA,DRA,DSA,DUS
DUS,DSA,DRA,SLB,GUD,GRA,DUS
DUS,DSA,DRA,TEB,GUD,GRA,DUS
DUS,DRA,SLA,SLB,GUD,DSA,DUS
DUS,DRA,SLA,TEB,GUD,DSA,DUS
DUS,DRA,TEB,SLB,GUD,DSA,DUS
DUS,DRA,SLA,SLB,JSF,DSA,DUS
DUS,DRA,SLA,SLB,DSA,GRA,DUS
DUS,DRA,SLA,TEB,DSA,GRA,DUS
DUS,DRA,TEB,SLB,DSA,GRA,DUS
DUS,DRA,SLA,TEB,SLB,DSA,DUS
DUS,DRA,SLA,GKR,GUD,JSF,DUS
DUS,DRA,SLB,GKR,GUD,JSF,DUS
DUS,DRA,SLA,GKR,GUD,GRA,DUS
DUS,DRA,SLB,GKR,GUD,GRA,DUS
DUS,DRA,TEB,GKR,GUD,GRA,DUS
DUS,DRA,SLA,SLB,GKR,GUD,DUS
DUS,DRA,SLA,TEB,GKR,GUD,DUS
DUS,DRA,TEB,SLB,GKR,GUD,DUS
DUS,DRA,SLA,GKR,JSF,GRA,DUS
DUS,DRA,SLB,GKR,JSF,GRA,DUS
DUS,DRA,TEB,GKR,JSF,GRA,DUS
DUS,DRA,SLA,SLB,GKR,JSF,DUS
DUS,DRA,SLA,TEB,GKR,JSF,DUS
DUS,DRA,TEB,SLB,GKR,JSF,DUS
DUS,DRA,SLA,SLB,GKR,GRA,DUS
DUS,DRA,SLA,TEB,GKR,GRA,DUS
