MON,DSA,DSS,STB,MON
MON,DSA,DSS,STC,MON
MON,DSA,DSS,TEN,MON
MON,DSA,DSS,TEQTRC,MON
MON,DSA,DSS,TRB,MON
MON,DSA,DSS,TRO,MON
MON,DSA,DSS,VFB,MON
MON,DSA,GFAGFB,KVB,MON
MON,DSA,GFAGFB,MID,MON
MON,DSA,GFAGFB,OSC,MON
MON,DSA,GFAGFB,OSO,MON
MON,DSA,GFAGFB,OSS,MON
MON,DSA,GFAGFB,TEN,MON
MON,DSA,GFAGFB,TRB,MON
MON,DSA,GFAGFB,TRO,MON
MON,DSA,GFAGFB,VFB,MON
MON,DSA,GFC,KVB,MON
MON,DSA,GFC,MID,MON
MON,DSA,GFC,NLNVAL,MON
MON,DSA,GFC,OSC,MON
MON,DSA,GFC,OSE,MON
MON,DSA,GFC,OSO,MON
MON,DSA,GFC,OSS,MON
MON,DSA,GFC,STA,MON
MON,DSA,GFC,STB,MON
MON,DSA,GFC,STC,MON
MON,DSA,GFC,TEN,MON
MON,DSA,GFC,TEQTRC,MON
MON,DSA,GFC,TRB,MON
MON,DSA,GFC,TRO,MON
MON,DSA,GFC,VFB,MON
MON,DSA,KVB,NLNVAL,MON
MON,DSA,KVB,OSC,MON
MON,DSA,KVB,OSE,MON
MON,DSA,KVB,OSS,MON
MON,DSA,KVB,STA,MON
MON,DSA,KVB,STB,MON
MON,DSA,KVB,STC,MON
MON,DSA,KVB,TEN,MON
MON,DSA,KVB,TEQTRC,MON
MON,DSA,KVB,TRB,MON
MON,DSA,KVB,VFB,MON
MON,DSA,MID,NLNVAL,MON
MON,DSA,MID,OSC,MON
MON,DSA,MID,OSE,MON
MON,DSA,MID,OSS,MON
MON,DSA,MID,STA,MON
MON,DSA,MID,STB,MON
MON,DSA,MID,STC,MON
MON,DSA,MID,TEN,MON
MON,DSA,MID,TEQTRC,MON
MON,DSA,MID,TRB,MON
MON,DSA,MID,VFB,MON
MON,DSA,NLNVAL,OSC,MON
MON,DSA,NLNVAL,OSE,MON
MON,DSA,NLNVAL,OSO,MON
MON,DSA,NLNVAL,OSS,MON
MON,DSA,NLNVAL,STA,MON
MON,DSA,NLNVAL,STB,MON
MON,DSA,NLNVAL,STC,MON
MON,DSA,NLNVAL,TEN,MON
MON,DSA,NLNVAL,TEQTRC,MON
MON,DSA,NLNVAL,TRB,MON
MON,DSA,NLNVAL,TRO,MON
MON,DSA,NLNVAL,VFB,MON
MON,DSA,OSC,OSE,MON
MON,DSA,OSC,OSO,MON
MON,DSA,OSC,OSS,MON
MON,DSA,OSC,STA,MON
MON,DSA,OSC,STB,MON
MON,DSA,OSC,STC,MON
MON,DSA,OSC,TEN,MON
MON,DSA,OSC,TEQTRC,MON
MON,DSA,OSC,TRB,MON
MON,DSA,OSC,VFB,MON
MON,DSA,OSE,OSO,MON
MON,DSA,OSE,OSS,MON
MON,DSA,OSE,TEN,MON
MON,DSA,OSE,TEQTRC,MON
MON,DSA,OSE,TRB,MON
MON,DSA,OSE,TRO,MON
MON,DSA,OSE,VFB,MON
MON,DSA,OSO,OSS,MON
MON,DSA,OSO,STA,MON
MON,DSA,OSO,STB,MON
MON,DSA,OSO,STC,MON
MON,DSA,OSO,TEN,MON
MON,DSA,OSO,TEQTRC,MON
MON,DSA,OSO,TRB,MON
MON,DSA,OSO,VFB,MON
MON,DSA,OSS,STA,MON
MON,DSA,OSS,STB,MON
MON,DSA,OSS,STC,MON
MON,DSA,OSS,TEN,MON
MON,DSA,OSS,TEQTRC,MON
