MON,DSA,DSS,KVB,MON
MON,DSA,DSS,MID,MON
MON,DSA,DSS,NLNVAL,MON
MON,DSA,DSS,OSC,MON
MON,DSA,DSS,OSE,MON
MON,DSA,DSS,OSO,MON
MON,DSA,DSS,OSS,MON
MON,DSA,DSS,STC,MON
MON,DSA,DSS,TENTRB,MON
MON,DSA,DSS,TEQTRC,MON
MON,DSA,DSS,TRO,MON
MON,DSA,DSS,VFB,MON
MON,DSA,GFAGFB,KVB,MON
MON,DSA,GFAGFB,MID,MON
MON,DSA,GFAGFB,OSC,MON
MON,DSA,GFAGFB,OSO,MON
MON,DSA,GFAGFB,OSS,MON
MON,DSA,GFAGFB,TRO,MON
MON,DSA,GFAGFB,VFB,MON
MON,DSA,GFC,KVB,MON
MON,DSA,GFC,MID,MON
MON,DSA,GFC,NLNVAL,MON
MON,DSA,GFC,OSC,MON
MON,DSA,GFC,OSE,MON
MON,DSA,GFC,OSO,MON
MON,DSA,GFC,OSS,MON
MON,DSA,GFC,STC,MON
MON,DSA,GFC,TENTRB,MON
MON,DSA,GFC,TEQTRC,MON
MON,DSA,GFC,TRO,MON
MON,DSA,GFC,VFB,MON
MON,DSA,KVB,NLNVAL,MON
MON,DSA,KVB,OSC,MON
MON,DSA,KVB,OSE,MON
MON,DSA,KVB,OSS,MON
MON,DSA,KVB,STASTB,MON
MON,DSA,KVB,STC,MON
MON,DSA,KVB,TENTRB,MON
MON,DSA,KVB,TEQTRC,MON
MON,DSA,KVB,VFB,MON
MON,DSA,MID,NLNVAL,MON
MON,DSA,MID,OSC,MON
MON,DSA,MID,OSE,MON
MON,DSA,MID,OSS,MON
MON,DSA,MID,STASTB,MON
MON,DSA,MID,STC,MON
MON,DSA,MID,TENTRB,MON
MON,DSA,MID,TEQTRC,MON
MON,DSA,MID,VFB,MON
MON,DSA,NLNVAL,OSC,MON
MON,DSA,NLNVAL,OSE,MON
MON,DSA,NLNVAL,OSO,MON
MON,DSA,NLNVAL,OSS,MON
MON,DSA,NLNVAL,STC,MON
MON,DSA,NLNVAL,TENTRB,MON
MON,DSA,NLNVAL,TEQTRC,MON
MON,DSA,NLNVAL,TRO,MON
MON,DSA,NLNVAL,VFB,MON
MON,DSA,OSC,OSE,MON
MON,DSA,OSC,OSO,MON
MON,DSA,OSC,OSS,MON
MON,DSA,OSC,STC,MON
MON,DSA,OSC,TENTRB,MON
MON,DSA,OSC,TEQTRC,MON
MON,DSA,OSC,VFB,MON
MON,DSA,OSE,OSO,MON
MON,DSA,OSE,OSS,MON
